PID,barcode,proname,uom,Category,Packing,Packingqty,Type,Comp Name,Pur Price,Sale Price
1452,, Hico Apple Orange Stick,,,,,,,16.80,20.00
235,,Bona Papa  Dipers  jumbo,,,,,,,"1,180.00","1,280.00"
1491,,Cake Up Peek Freans Rs 20,,,,,,,17.70,20.00
1898,,Chocolate Sandwich RS 30,,,,,,,28.00,30.00
1439,,CoCoMo Rs 20,,,,,,,9.17,10.00
1003,,Cornetto small walls Rs 70,,,,,,,58.79,70.00
1173,,Dawn Bread Family Pack,,,,,,,207.00,230.00
328,,Dew 7Up 1.5,,,,,,,121.66,170.00
1241,,Donut Smile Cake,,,,,,,44.40,50.00
1906,,Every Day 560 G,,,,,,,"1,046.00","1,100.00"
957,,Gel pen,,,,,,,44.58,50.00
1146,,Invalip,,,,,,,10.00,20.00
1262,,Josh Classic,,,,,,,80.00,120.00
1338,,Koko Krunch Maxx,,,,,,,540.00,570.00
241,,Lifebuoy Shampoo 175 ml,,,,,,,308.90,340.00
264,,Lux  Soap 100 g,,,,,,,74.87,80.00
1625,,Party Half Rool 40,,,,,,,36.50,40.00
1219,,Perk Choclate 10,,,,,,,9.36,10.00
884,,Polac Fruit Cocktail 800 G,,,,,,,650.00,"1,020.00"
29,,Pom poms,,,,,,,4.29,5.00
1352,,Potato Sticks,,,,,,,9.07,10.00
984,,Rio Rs 15,,,,,,,9.05,15.00
1142,,Shakar I Kg,,,,,,,156.66,170.00
16,,Slaim Drumm,,,,,,,16.66,30.00
1100,,Super Clay china,,,,,,,90.00,150.00
2262,,Swiss Cream Cheese,,,,,,,500.00,550.00
15,,Whistlez Biskits Rs 10,,,,,,,8.67,10.00
1737,,Wispy Rool Hilal,,,,,,,9.00,10.00
1395,,Zera Bistiks Plus 30,,,,,,,27.09,30.00
6,,Bravo  s / p,,,,,,kolson,13.33,15.00
13,,Cock Pasta,,,,,,kolson,50.00,60.00
14,,Dil Candle,,,,,,kolson,120.00,160.00
9,,Kolson  Spaghetti,,,,,,kolson,165.00,180.00
12,,Kolson Color pasta,,,,,,kolson,81.25,95.00
8,,Kolson Macaroni,,,,,,kolson,160.00,180.00
11,,Kolson roasted pasta,,,,,,kolson,78.33,100.00
3,,Kolson Slanty,,,,,,kolson,27.50,30.00
2,,Kolson Slanty,,,,,,kolson,18.34,20.00
1,,Kolson Slanty 10,,,,,,kolson,9.17,10.00
4,,Kolson Snakers,,,,,,kolson,9.00,10.00
5,,Kolson Snakers,,,,,,kolson,18.34,20.00
7,,Lottey Choco Pie,,,,,,kolson,26.67,30.00
10,,Recipe Macaroni,,,,,,kolson,130.00,130.00
1783,,Chapli Kabab Menu Small,,,,,,Tariq Super Stor,415.33,470.00
1953,,Millan Haldii 100 G,,,,,,Tariq Super Stor,53.00,80.00
2067,,Pista Sabit 200 G,,,,,,Tariq Super Stor,560.00,650.00
18,,Dental Floss Tooth Pick,,,,,,U K food,12.00,120.00
20,,Mr Orial Tooth Brush,,,,,,U K food,90.00,150.00
19,,Royal Card,,,,,,U K food,130.00,170.00
17,,SESSOR Medium,,,,,,U K food,45.00,80.00
27,,Balon Large,,,,,,Giggly,20.00,50.00
32,,Birth Day Cap Card,,,,,,Giggly,15.00,30.00
24,,Care Hand Wash 270ml,,,,,,Giggly,290.50,300.00
28,,Choco bites Rs 30,,,,,,Giggly,27.45,30.00
25,,Cotton Buds Jar,,,,,,Giggly,75.00,120.00
26,,Dabur Amla Hair Oil 100 Ml,,,,,,Giggly,269.99,300.00
23,,Loli Pop Rs 20,,,,,,Giggly,7.80,20.00
22,,Opus  Rs 10,,,,,,Giggly,8.34,10.00
30,,Star Candel,,,,,,Giggly,160.00,200.00
21,,SUPER Phenyl Tablet,,,,,,Giggly,80.00,100.00
31,,Tulsi  sweet supari,,,,,,Giggly,4.06,5.00
34,,Candi Biskit Rs 40,,,,,,Lu,36.20,40.00
35,,Gala Rs 30,,,,,,Lu,27.65,30.00
37,,Lu biskit Rs 15,,,,,,Lu,14.25,15.00
36,,Prince Rs30,,,,,,Lu,36.30,40.00
33,,Tuc Rs 40,,,,,,Lu,36.00,40.00
40,, Super Crips Chips 40,,,,,,Super Crisp,36.70,40.00
41,,Super Crips Chips rs 50,,,,,,Super Crisp,44.50,50.00
39,,Super Crisp  Chips 20,,,,,,Super Crisp,18.36,20.00
50,,All Rounder Brush,,,,,,Gorey,118.00,150.00
47,,Carpet Brush,,,,,,Gorey,130.00,170.00
71,,Classic Brush,,,,,,Gorey,22.00,30.00
46,,Expert Brush,,,,,,Gorey,105.00,120.00
72,,Ezigrip Brush rs 60,,,,,,Gorey,42.00,60.00
73,,Ezigrip Kombat Brush 90,,,,,,Gorey,82.00,100.00
59,,Gorey Nipple,,,,,,Gorey,38.00,50.00
43,,Gorey Royal,,,,,,Gorey,24.00,30.00
58,,Gorey Soother,,,,,,Gorey,50.00,60.00
42,,Hi kleen,,,,,,Gorey,46.00,60.00
44,,House gift small,,,,,,Gorey,85.00,120.00
45,,Morning Fresh,,,,,,Gorey,75.00,90.00
56,,Mumta Feeder  150ml,,,,,,Gorey,110.00,130.00
55,,Mumta Feedre 60 ML,,,,,,Gorey,60.00,75.00
51,,Select Brush,,,,,,Gorey,68.00,80.00
53,,Signal Max White,,,,,,Gorey,100.00,120.00
48,,Smokerz Brush,,,,,,Gorey,64.00,80.00
54,,Sumei Brush,,,,,,Gorey,58.00,70.00
49,,Twinkle Brush,,,,,,Gorey,25.00,30.00
69,,Armore Buush,,,,,,Doctor,64.17,80.00
65,,Cat basket,,,,,,Doctor,440.00,590.00
269,,Doctor Anti Lice 100 ml,,,,,,Doctor,130.00,160.00
270,,Doctor Anti Lice 50 ml,,,,,,Doctor,70.00,80.00
68,,Doctor Loong  140g,,,,,,Doctor,195.00,260.00
61,,Doctor Pest  70g,,,,,,Doctor,85.00,100.00
62,,Doctor Pest  70g Bp,,,,,,Doctor,100.00,120.00
63,,Doctor Pest 100g,,,,,,Doctor,165.00,200.00
64,,Doctor Pest 150g,,,,,,Doctor,148.00,170.00
60,,Doctor Pest 35g,,,,,,Doctor,56.00,65.00
70,,Guard Brush,,,,,,Doctor,38.00,50.00
67,,Nexera 140 g,,,,,,Doctor,160.00,220.00
66,,Nexera 70 g,,,,,,Doctor,92.00,110.00
76,,Me Boody Supery 250 ml,,,,,,Medicam,310.00,400.00
77,,Me Boody Supery Black,,,,,,Medicam,480.00,550.00
74,,Me Boody Suprey White,,,,,,Medicam,275.00,330.00
81,,medicam 140g,,,,,,Medicam,174.00,190.00
82,,Medicam 180g,,,,,,Medicam,190.00,200.00
83,,Medicam 180g Bp,,,,,,Medicam,218.00,240.00
78,,Medicam 35g,,,,,,Medicam,62.00,70.00
79,,Medicam 65 g,,,,,,Medicam,157.00,180.00
80,,Medicam 65 g Bp,,,,,,Medicam,119.00,130.00
